,screen_name,text,is_quote,is_retweet,retweet_text
575,UN_CYPRUS,"We are excited to welcome the new group of the @UN Youth Champions for Environment and Peace next week. ✌️🌱🕊

Stay tuned as 34 young people from across the island will join us and start discussions on Monday! 
#Youth4Peace https://t.co/l6pGeqCe2v",FALSE,FALSE,NA
577,UN_CYPRUS,"#ClimateAction 

UNEP Patron of the Oceans @LewisPugh aims to swim across Ilulissat Icefjord in Greenland to call attention to the #ClimateCrisis. No one has ever attempted such a multi-day swim in the polar regions ❄️ - good luck, Lewis!
#ClimateSwim 
https://t.co/hAjAaPj2og",FALSE,TRUE,"#ClimateAction 

UNEP Patron of the Oceans @LewisPugh aims to swim across Ilulissat Icefjord in Greenland to call attention to the #ClimateCrisis. No one has ever attempted such a multi-day swim in the polar regions ❄️ - good luck, Lewis!
#ClimateSwim 
https://t.co/hAjAaPj2og"
582,UN_CYPRUS,"Black carbon is produced by diesel engines, burning trash &amp; dirty cookstoves. It also: 

⚫ is one of the largest contributors to the #ClimateCrisis
⚫ is a dangerous air pollutant
⚫ affects air, climate &amp; ultimately everyone

#HealthyAirHealthyPlanet: https://t.co/9B1Gqu5GLC https://t.co/qWQN4RaanL",FALSE,TRUE,"Black carbon is produced by diesel engines, burning trash &amp; dirty cookstoves. It also: 

⚫ is one of the largest contributors to the #ClimateCrisis
⚫ is a dangerous air pollutant
⚫ affects air, climate &amp; ultimately everyone

#HealthyAirHealthyPlanet: https://t.co/9B1Gqu5GLC https://t.co/qWQN4RaanL"
584,UN_CYPRUS,"Climate-related disasters like floods, droughts and heat waves are increasing in number and intensity, threatening development gains globally. One month after the floods in Europe, see these 5 lessons on how we can better prepare and mitigate their impact. https://t.co/PsNtDZK8gn https://t.co/z3250tmR55",FALSE,TRUE,"Climate-related disasters like floods, droughts and heat waves are increasing in number and intensity, threatening development gains globally. One month after the floods in Europe, see these 5 lessons on how we can better prepare and mitigate their impact. https://t.co/PsNtDZK8gn https://t.co/z3250tmR55"
602,UN_CYPRUS,"🏃🏿‍♀️🚴🏽‍♂️👩🏼‍🦽🏊🏽‍♀️🤸Join #TheHumanRace challenge on Strava! 

Log 100 minutes of activity between 16–31 August in solidarity with the people affected by the climate crisis. https://t.co/KkWYiaxbmg",FALSE,TRUE,"🏃🏿‍♀️🚴🏽‍♂️👩🏼‍🦽🏊🏽‍♀️🤸Join #TheHumanRace challenge on Strava! 

Log 100 minutes of activity between 16–31 August in solidarity with the people affected by the climate crisis. https://t.co/KkWYiaxbmg"
610,UN_CYPRUS,"I welcome the unanimous adoption by the UN Security Council of resolution 2589 on accountability for crimes against peacekeepers. In increasingly volatile and complex operating environments, the safety and security of our peacekeepers remains a top priority. #A4P https://t.co/FJlQy9VOR2",FALSE,TRUE,"I welcome the unanimous adoption by the UN Security Council of resolution 2589 on accountability for crimes against peacekeepers. In increasingly volatile and complex operating environments, the safety and security of our peacekeepers remains a top priority. #A4P https://t.co/FJlQy9VOR2"
614,UN_CYPRUS,"Observed mean and extreme temperature trends in Europe cannot be explained without accounting for the human factor. Read regional facts here: https://t.co/BdsO6ImFgT 
#ClimateReport #climateaction #IPCC https://t.co/IIMkgAnEgh",FALSE,TRUE,"Observed mean and extreme temperature trends in Europe cannot be explained without accounting for the human factor. Read regional facts here: https://t.co/BdsO6ImFgT 
#ClimateReport #climateaction #IPCC https://t.co/IIMkgAnEgh"
615,UN_CYPRUS,"On #WorldHumanitarianDay, we pay tribute to aid workers around the world.

This year, we focus on the climate crisis, a race we can and must win. 

Join #TheHumanRace and send a message to global leaders that #ClimateAction must leave no one behind. https://t.co/N6jmKDVHb0 https://t.co/rPOgDqi9Gp",FALSE,TRUE,"On #WorldHumanitarianDay, we pay tribute to aid workers around the world.

This year, we focus on the climate crisis, a race we can and must win. 

Join #TheHumanRace and send a message to global leaders that #ClimateAction must leave no one behind. https://t.co/N6jmKDVHb0 https://t.co/rPOgDqi9Gp"
636,UN_CYPRUS,"World leaders must commit to putting vulnerable people front &amp; centre at #COP26.

🏃🏿‍♀️🚴🏽‍♂️👩🏼‍🦽🏊🏽‍♀️🤸
Join #TheHumanRace challenge: do any activity of your choice to send a message of solidarity &amp; demand #ClimateAction #ForPeopleForPlanet.

https://t.co/2sypYRAkO1
#100bForClimateAction https://t.co/ILKCWnyxsx",FALSE,TRUE,"World leaders must commit to putting vulnerable people front &amp; centre at #COP26.

🏃🏿‍♀️🚴🏽‍♂️👩🏼‍🦽🏊🏽‍♀️🤸
Join #TheHumanRace challenge: do any activity of your choice to send a message of solidarity &amp; demand #ClimateAction #ForPeopleForPlanet.

https://t.co/2sypYRAkO1
#100bForClimateAction https://t.co/ILKCWnyxsx"
640,UN_CYPRUS,"The climate emergency is a humanitarian crisis. 

Ahead of next week's #WorldHumanitarianDay, @UNOCHA is urging everyone to show solidarity with people most affected by the climate crisis. 

Join #TheHumanRace: https://t.co/agF7ZANTU8",FALSE,TRUE,"The climate emergency is a humanitarian crisis. 

Ahead of next week's #WorldHumanitarianDay, @UNOCHA is urging everyone to show solidarity with people most affected by the climate crisis. 

Join #TheHumanRace: https://t.co/agF7ZANTU8"
644,UN_CYPRUS,"Global investment in renewable power capacity totalled $303.5 billion in 2020, a 2% increase from 2019.

But to reach global climate goals, annual investment in renewables must at least triple by 2030, for a total increase of 200%.

More on #ClimateAction: https://t.co/ze87b7JoBv https://t.co/TrCaicukUn",FALSE,TRUE,"Global investment in renewable power capacity totalled $303.5 billion in 2020, a 2% increase from 2019.

But to reach global climate goals, annual investment in renewables must at least triple by 2030, for a total increase of 200%.

More on #ClimateAction: https://t.co/ze87b7JoBv https://t.co/TrCaicukUn"
649,UN_CYPRUS,"♻ Reduce
♻ Repair
♻ Reuse
♻ Recycle

Take #ClimateAction by making small changes in your daily life to reduce waste. https://t.co/TrmoKhFYEo #ActNow https://t.co/qQq2q0NI8G",FALSE,TRUE,"♻ Reduce
♻ Repair
♻ Reuse
♻ Recycle

Take #ClimateAction by making small changes in your daily life to reduce waste. https://t.co/TrmoKhFYEo #ActNow https://t.co/qQq2q0NI8G"
655,UN_CYPRUS,"Youth have the power to bring about transformative change for the environment 🌍 

Do you know what skills young people need to land green &amp; planet-friendly jobs? 

On #YouthDay, explore our🆕 #GEO6Youth interactive to find out 👉 https://t.co/1Oiu2dY6VP https://t.co/n0EzHDz8LX",FALSE,TRUE,"Youth have the power to bring about transformative change for the environment 🌍 

Do you know what skills young people need to land green &amp; planet-friendly jobs? 

On #YouthDay, explore our🆕 #GEO6Youth interactive to find out 👉 https://t.co/1Oiu2dY6VP https://t.co/n0EzHDz8LX"
661,UN_CYPRUS,"As we join the 🌏 to celebrate #YouthDay, watch how the @UN Youth Champions for Environment &amp; Peace  collaborated to promote peace &amp; sustainability in #Cyprus. 
Stay tuned as we prepare to launch the 2nd edition and bring even more young people together! 

https://t.co/0YxAZReCtA",FALSE,FALSE,NA
664,UN_CYPRUS,"From the #COVID19 pandemic to the #ClimateCrisis, the @UN has been at the forefront of finding solutions to challenges that respect no borders.

Let's take #ClimateAction to create a future of prosperity &amp; well-being, while protecting our planet 🌎. 

https://t.co/WAacEfDcyO https://t.co/w3JdHRvPuC",FALSE,TRUE,"From the #COVID19 pandemic to the #ClimateCrisis, the @UN has been at the forefront of finding solutions to challenges that respect no borders.

Let's take #ClimateAction to create a future of prosperity &amp; well-being, while protecting our planet 🌎. 

https://t.co/WAacEfDcyO https://t.co/w3JdHRvPuC"
666,UN_CYPRUS,"Youth around the world work hard to build a sustainable future.🌍🌱
Here, @UN_CYPRUS peacekeepers &amp; the Youth Champions roll up their sleeves to address the solid waste problem in the @UN Buffer Zone &amp; ensure a clean environment for the entire island. #YouthDay

📷UNFICYP/2020 https://t.co/34RbTdVx23",FALSE,TRUE,"Youth around the world work hard to build a sustainable future.🌍🌱
Here, @UN_CYPRUS peacekeepers &amp; the Youth Champions roll up their sleeves to address the solid waste problem in the @UN Buffer Zone &amp; ensure a clean environment for the entire island. #YouthDay

📷UNFICYP/2020 https://t.co/34RbTdVx23"
667,UN_CYPRUS,"Whether it's taking #climateaction or advocating for food security--youth are always showing us how to #ActForEqual for our planet, people and futures.

Speak up on #YouthDay! https://t.co/6nimBWwfRv",FALSE,TRUE,"Whether it's taking #climateaction or advocating for food security--youth are always showing us how to #ActForEqual for our planet, people and futures.

Speak up on #YouthDay! https://t.co/6nimBWwfRv"
670,UN_CYPRUS,"This is a race for our planet. 
For our lives. 
For our future.

The race against the #ClimateCrisis is the most important race of our lives.

Join us. https://t.co/GvGoWocu6i #TheHumanRace https://t.co/yClMUXCScL",FALSE,TRUE,"This is a race for our planet. 
For our lives. 
For our future.

The race against the #ClimateCrisis is the most important race of our lives.

Join us. https://t.co/GvGoWocu6i #TheHumanRace https://t.co/yClMUXCScL"
671,UN_CYPRUS,"""If we combine forces now, we can avert climate catastrophe.  

But, as today’s report makes clear, there is no time for delay and no room for excuses.  

I count on government leaders &amp; all stakeholders to ensure #COP26 is a success.""

@antonioguterres on the latest #IPCC report https://t.co/fVunR0KQKr",FALSE,TRUE,"""If we combine forces now, we can avert climate catastrophe.  

But, as today’s report makes clear, there is no time for delay and no room for excuses.  

I count on government leaders &amp; all stakeholders to ensure #COP26 is a success.""

@antonioguterres on the latest #IPCC report https://t.co/fVunR0KQKr"
675,UN_CYPRUS,"Yesterday, #IPCCWorkingGroup1Report reconfirmed our climate is changing due to human activities.

We need urgent actions and an intersectional approach to achieve #ClimateJustice.

Want to learn more? Check out our course on climate change &amp; #WPS: https://t.co/3N2HzwZ0OO https://t.co/ebzARJYt0u",FALSE,TRUE,"Yesterday, #IPCCWorkingGroup1Report reconfirmed our climate is changing due to human activities.

We need urgent actions and an intersectional approach to achieve #ClimateJustice.

Want to learn more? Check out our course on climate change &amp; #WPS: https://t.co/3N2HzwZ0OO https://t.co/ebzARJYt0u"
682,UN_CYPRUS,"This @IPCC_CH #ClimateReport is a severe warning regarding the well-being of human society &amp; all life on Earth. 

The only way to reach the 1.5C goal is through the rapid implementation of more ambitious NDCs.

Full @UNFCCC statement here: https://t.co/3nMhpP5x0D https://t.co/id6Jd4HpRx",FALSE,TRUE,"This @IPCC_CH #ClimateReport is a severe warning regarding the well-being of human society &amp; all life on Earth. 

The only way to reach the 1.5C goal is through the rapid implementation of more ambitious NDCs.

Full @UNFCCC statement here: https://t.co/3nMhpP5x0D https://t.co/id6Jd4HpRx"
684,UN_CYPRUS,"COVID-19 stole the headlines last year but in the background, the cost of climate-related disasters climbed. Here is our 2020 report developed with @CREDUCL  https://t.co/FWQaa9DyRJ https://t.co/ns4F2lTQpn",FALSE,TRUE,"COVID-19 stole the headlines last year but in the background, the cost of climate-related disasters climbed. Here is our 2020 report developed with @CREDUCL  https://t.co/FWQaa9DyRJ https://t.co/ns4F2lTQpn"
685,UN_CYPRUS,"#ClimateChange is widespread, rapid, and intensifying, and some trends are now irreversible, at least during our time frame, according to the latest @IPCC_CH report.

However, there is still time to limit the warming by reaching #NetZero CO2 emissions. 

https://t.co/L5Knt4x9Tl",FALSE,TRUE,"#ClimateChange is widespread, rapid, and intensifying, and some trends are now irreversible, at least during our time frame, according to the latest @IPCC_CH report.

However, there is still time to limit the warming by reaching #NetZero CO2 emissions. 

https://t.co/L5Knt4x9Tl"
687,UN_CYPRUS,"🚨🆕 @IPCC_CH #ClimateReport🚨

Unless there are immediate, rapid and large-scale reductions in greenhouse gas emissions, limiting warming to close to 1.5°C or even 2°C will be beyond reach: https://t.co/R3m3ZYGwed

#ClimateCrisis https://t.co/k0VfzvnxaU",FALSE,TRUE,"🚨🆕 @IPCC_CH #ClimateReport🚨

Unless there are immediate, rapid and large-scale reductions in greenhouse gas emissions, limiting warming to close to 1.5°C or even 2°C will be beyond reach: https://t.co/R3m3ZYGwed

#ClimateCrisis https://t.co/k0VfzvnxaU"
694,UN_CYPRUS,".@UN peacekeeping missions support &amp; empower local youth to facilitate the path towards lasting peace.
@UN_CYPRUS has launched the Youth Champions for Environment and Peace initiative to promote environmental peacebuilding. #YouthDay #Youth4Peace #YouthPeaceSecurity https://t.co/KYQlNhSYsX",FALSE,TRUE,".@UN peacekeeping missions support &amp; empower local youth to facilitate the path towards lasting peace.
@UN_CYPRUS has launched the Youth Champions for Environment and Peace initiative to promote environmental peacebuilding. #YouthDay #Youth4Peace #YouthPeaceSecurity https://t.co/KYQlNhSYsX"
695,UN_CYPRUS,"Young female peacekeepers make a positive impact on peacekeeping environments, including supporting the  women in building peace. Ahead of #YouthDay, meet Corporal Tamara, a 27-year-old peacekeeper from #Argentina 🇦🇷, who left her 4-year-old daughter, to serve 4 peace in #Cyprus. https://t.co/4wljYPA9Te",FALSE,FALSE,NA
696,UN_CYPRUS,"Science has warned us, #ClimateChange is happening. We need to limit temperature rise to 1.5°C degrees.

Going beyond that, even if just marginally, could risk calamity for humanity.

To limit temperature rise we need bold and concrete #ClimateAction! https://t.co/uSPiPcHneQ",FALSE,TRUE,"Science has warned us, #ClimateChange is happening. We need to limit temperature rise to 1.5°C degrees.

Going beyond that, even if just marginally, could risk calamity for humanity.

To limit temperature rise we need bold and concrete #ClimateAction! https://t.co/uSPiPcHneQ"
704,UN_CYPRUS,"#ClimateAction: The increasing need to restore &amp; protect mangrove systems &amp; other blue carbon ecosystems, including salt marshes, seagrass beds &amp; coastal wetlands,
is becoming urgent due to their great benefits.

#GenerationRestoration #ForNature

https://t.co/tgu39wHLtH",FALSE,TRUE,"#ClimateAction: The increasing need to restore &amp; protect mangrove systems &amp; other blue carbon ecosystems, including salt marshes, seagrass beds &amp; coastal wetlands,
is becoming urgent due to their great benefits.

#GenerationRestoration #ForNature

https://t.co/tgu39wHLtH"
707,UN_CYPRUS,"Natural infrastructure builds climate resilience. 

Proactive investments in it can help reduce risk and protect us from the impacts of climate-related disasters. #PreventionSavesLives

https://t.co/xYMByU44P2",FALSE,TRUE,"Natural infrastructure builds climate resilience. 

Proactive investments in it can help reduce risk and protect us from the impacts of climate-related disasters. #PreventionSavesLives

https://t.co/xYMByU44P2"
723,UN_CYPRUS,"As scientists &amp; representatives review the world’s most comprehensive assessment of our climate from @IPCC_CH, learn about role of climate science in decision-making &amp; what can be done to prioritize #ClimateAction #ForPeopleForPlanet with @JoyceMsuya.  https://t.co/0B0ej91H3T",FALSE,TRUE,"As scientists &amp; representatives review the world’s most comprehensive assessment of our climate from @IPCC_CH, learn about role of climate science in decision-making &amp; what can be done to prioritize #ClimateAction #ForPeopleForPlanet with @JoyceMsuya.  https://t.co/0B0ej91H3T"
733,UN_CYPRUS,"🚴‍♀️ Biking to work
💡 Switching off the lights
👖 Buying sustainable fashion

Taking #ClimateAction &amp; living more sustainably doesn't have to be difficult.

The #ActNow app helps you reduce your carbon footprint - and have fun doing it: https://t.co/4i2kqgYQPL https://t.co/Ay8ZqVX8u6",FALSE,TRUE,"🚴‍♀️ Biking to work
💡 Switching off the lights
👖 Buying sustainable fashion

Taking #ClimateAction &amp; living more sustainably doesn't have to be difficult.

The #ActNow app helps you reduce your carbon footprint - and have fun doing it: https://t.co/4i2kqgYQPL https://t.co/Ay8ZqVX8u6"
734,UN_CYPRUS,"Small island nations across the world are bearing the brunt of the #ClimateCrisis, and their problems have been accentuated by the #COVID19 pandemic.

@UN_News_Centre looks at some of the many challenges they face, and how they could be overcome. https://t.co/Tt93rH0jLX",FALSE,TRUE,"Small island nations across the world are bearing the brunt of the #ClimateCrisis, and their problems have been accentuated by the #COVID19 pandemic.

@UN_News_Centre looks at some of the many challenges they face, and how they could be overcome. https://t.co/Tt93rH0jLX"
746,UN_CYPRUS,"Do you want to know more about what the @UN in #Cyprus is doing on environmental peacebuilding? 🌱🕊

Check out our latest animation 👇 @UNPeacekeeping #A4P https://t.co/cse5QhWjGX",FALSE,FALSE,NA
749,UN_CYPRUS,"#DidYouKnow?🤔

@UNEP suggests that in the last 60 yrs at least 40% of all intrastate conflicts have a link to natural resources?

Although climate change is not a direct source of conflict, it is a threat multiplier that exacerbates resource scarcity &amp; existing vulnerabilities. https://t.co/aaXheNoFDN",FALSE,TRUE,"#DidYouKnow?🤔

@UNEP suggests that in the last 60 yrs at least 40% of all intrastate conflicts have a link to natural resources?

Although climate change is not a direct source of conflict, it is a threat multiplier that exacerbates resource scarcity &amp; existing vulnerabilities. https://t.co/aaXheNoFDN"
766,UN_CYPRUS,"Science has long warned us that we need to limit temperature rise to 1.5°C degrees.

Moving beyond that, even if just marginally, could risk calamity for humanity.

Limiting temperature rise is still possible - and crucial - but only through bold and concrete #ClimateAction. https://t.co/wlWTjMzssp",FALSE,TRUE,"Science has long warned us that we need to limit temperature rise to 1.5°C degrees.

Moving beyond that, even if just marginally, could risk calamity for humanity.

Limiting temperature rise is still possible - and crucial - but only through bold and concrete #ClimateAction. https://t.co/wlWTjMzssp"
769,UN_CYPRUS,"⚠️ Every year, across the 🌍, 1.3 billion tonnes of food is either lost or wasted. We must #StopFoodLossWaste.

✅ The practice of composting is one of the best options for managing organic waste while also reducing environmental impacts.
#FoodSystems 
https://t.co/zzGUlk57po",FALSE,TRUE,"⚠️ Every year, across the 🌍, 1.3 billion tonnes of food is either lost or wasted. We must #StopFoodLossWaste.

✅ The practice of composting is one of the best options for managing organic waste while also reducing environmental impacts.
#FoodSystems 
https://t.co/zzGUlk57po"
776,UN_CYPRUS,"#NatureBasedSolutions can help cities address urgent environmental challenges.

Explore their transformational potential &amp; best practices from around the🌍 in this 🆕 UNEP-@g20org report.
#ForNature 
https://t.co/hP2Tb3RIiU",FALSE,TRUE,"#NatureBasedSolutions can help cities address urgent environmental challenges.

Explore their transformational potential &amp; best practices from around the🌍 in this 🆕 UNEP-@g20org report.
#ForNature 
https://t.co/hP2Tb3RIiU"
782,UN_CYPRUS,"Amid exceptional weather events globally, delegates begin discussions on key report examining scientific basis of climate change.

@IPCC_CH study will provide latest information on warming projections, detail human influence on climate &amp; more. https://t.co/L99eObCOAO",FALSE,TRUE,"Amid exceptional weather events globally, delegates begin discussions on key report examining scientific basis of climate change.

@IPCC_CH study will provide latest information on warming projections, detail human influence on climate &amp; more. https://t.co/L99eObCOAO"
788,UN_CYPRUS,"Mangroves are rare ecosystems on the boundary between land &amp; sea. 

On Monday's #MangroveDay, see how mangroves can help address the climate crisis: https://t.co/u8d81li13t via @UNESCO https://t.co/Xsx69Q8AH7",FALSE,TRUE,"Mangroves are rare ecosystems on the boundary between land &amp; sea. 

On Monday's #MangroveDay, see how mangroves can help address the climate crisis: https://t.co/u8d81li13t via @UNESCO https://t.co/Xsx69Q8AH7"
794,UN_CYPRUS,"Peter Rabbit has joined forces with the UN to help build a more sustainable world.

From eating more vegetables &amp; fruits to reducing food waste, you too can take #ClimateAction like #PeterRabbitFoodHero: https://t.co/cH20vlzApg https://t.co/4elYpm8UYT",FALSE,TRUE,"Peter Rabbit has joined forces with the UN to help build a more sustainable world.

From eating more vegetables &amp; fruits to reducing food waste, you too can take #ClimateAction like #PeterRabbitFoodHero: https://t.co/cH20vlzApg https://t.co/4elYpm8UYT"
809,UN_CYPRUS,"As peacekeepers work in ⬆️ dangerous operational environments, uniformed capability requirements also need to adapt. With support from Member States, a new implementation strategy part of the Action for Peacekeeping agenda, #A4P+, addresses systemic issues affecting missions. 👇 https://t.co/LVT7LiA3GG",FALSE,TRUE,"As peacekeepers work in ⬆️ dangerous operational environments, uniformed capability requirements also need to adapt. With support from Member States, a new implementation strategy part of the Action for Peacekeeping agenda, #A4P+, addresses systemic issues affecting missions. 👇 https://t.co/LVT7LiA3GG"
856,UN_CYPRUS,"The climate impacts we are seeing today - with warming currently at 1.2 degrees above pre-industrial levels - give the world a glimpse of what lies ahead: prolonged droughts, extreme and intensified weather events and horrific flooding.
-@antonioguterres https://t.co/CEDn8fosvW",FALSE,TRUE,"The climate impacts we are seeing today - with warming currently at 1.2 degrees above pre-industrial levels - give the world a glimpse of what lies ahead: prolonged droughts, extreme and intensified weather events and horrific flooding.
-@antonioguterres https://t.co/CEDn8fosvW"
858,UN_CYPRUS,"Climate impacts we see today give us a glimpse of what lies ahead if we don't act now: prolonged droughts, extreme &amp; intensified weather events &amp; horrific flooding.

All countries must present credible &amp; ambitious #ClimateAction plans ahead of #COP26.

We are running out of time.",FALSE,TRUE,"Climate impacts we see today give us a glimpse of what lies ahead if we don't act now: prolonged droughts, extreme &amp; intensified weather events &amp; horrific flooding.

All countries must present credible &amp; ambitious #ClimateAction plans ahead of #COP26.

We are running out of time."
885,UN_CYPRUS,"Climate change is a major threat to our #PlantHealth🌱

It reduces plants' resistance and resilience to pests and diseases.

We need to protect our plants to protect our food security!

More from @FAO 👉https://t.co/baVgjwbeg9

#IYPH https://t.co/GT5kfvLvyz",FALSE,TRUE,"Climate change is a major threat to our #PlantHealth🌱

It reduces plants' resistance and resilience to pests and diseases.

We need to protect our plants to protect our food security!

More from @FAO 👉https://t.co/baVgjwbeg9

#IYPH https://t.co/GT5kfvLvyz"
893,UN_CYPRUS,"Strong partnerships are a critical component of more effective peace operations. 🤝

As operations continue to evolve, striving every day to become more agile and adapt to the volatile environments is 🔑 to successful peace processes. #A4P @Lacroix_UN https://t.co/avQe5nmwhk",FALSE,TRUE,"Strong partnerships are a critical component of more effective peace operations. 🤝

As operations continue to evolve, striving every day to become more agile and adapt to the volatile environments is 🔑 to successful peace processes. #A4P @Lacroix_UN https://t.co/avQe5nmwhk"
894,UN_CYPRUS,"Protecting plant health can help:
🌱End hunger
🌱Reduce poverty
🌱Protect the environment
🌱Boost economic development.

As the Int'l Year of #PlantHealth comes to an end, let's continue to raise awareness about the importance of healthy plants. https://t.co/33mSYgVY39 via @FAO https://t.co/adCNFg0Gjl",FALSE,TRUE,"Protecting plant health can help:
🌱End hunger
🌱Reduce poverty
🌱Protect the environment
🌱Boost economic development.

As the Int'l Year of #PlantHealth comes to an end, let's continue to raise awareness about the importance of healthy plants. https://t.co/33mSYgVY39 via @FAO https://t.co/adCNFg0Gjl"
895,UN_CYPRUS,"There is still time to join the UN Youth Champions for environment and peace initiative!

Apply by 5️⃣ July: https://t.co/YbMocsQf9M https://t.co/rwV4qf2ean",FALSE,TRUE,"There is still time to join the UN Youth Champions for environment and peace initiative!

Apply by 5️⃣ July: https://t.co/YbMocsQf9M https://t.co/rwV4qf2ean"
929,UN_CYPRUS,"Do you want to know more about what the @UN in #Cyprus is doing on environmental peacebuilding? 🌱🕊

Check out our latest animation 👇

There is still time to join the UN Youth Champions for environment and peace initiative!

Apply by 5️⃣ July: https://t.co/QeYx3aVSNm https://t.co/mOKE5Y6UhD",FALSE,FALSE,NA
933,UN_CYPRUS,"Last chance to join the @UN Youth Champions for Environment and Peace! 🌱

Are you aged 18-25 and passionate for peace, sustainability and entrepreneurship? 

Then let’s build a greener future together! 🌎

Apply by 5️⃣ July: https://t.co/QeYx3aVSNm https://t.co/xMLxs7dPPa",FALSE,FALSE,NA
935,UN_CYPRUS,"#COVID19 has shown how important it is to listen to science and spread verified information. 

Be a #ClimateAction Superhero - help counter climate misinformation with true facts and scientific evidence. https://t.co/nAjeCApKJ4 #ActNow https://t.co/2QKsRkS3yO",FALSE,TRUE,"#COVID19 has shown how important it is to listen to science and spread verified information. 

Be a #ClimateAction Superhero - help counter climate misinformation with true facts and scientific evidence. https://t.co/nAjeCApKJ4 #ActNow https://t.co/2QKsRkS3yO"
937,UN_CYPRUS,"The UN works for everyone, everywhere by: 
🇺🇳 preventing conflict
🇺🇳 vaccinating children
🇺🇳 protecting refugees
🇺🇳 feeding the hungry
🇺🇳 addressing the climate crisis
🇺🇳 empowering women
🇺🇳 responding to #COVID19 &amp; so much more. 

https://t.co/QyLoeBtj66 #UN75 https://t.co/lBAqiGkVMD",FALSE,TRUE,"The UN works for everyone, everywhere by: 
🇺🇳 preventing conflict
🇺🇳 vaccinating children
🇺🇳 protecting refugees
🇺🇳 feeding the hungry
🇺🇳 addressing the climate crisis
🇺🇳 empowering women
🇺🇳 responding to #COVID19 &amp; so much more. 

https://t.co/QyLoeBtj66 #UN75 https://t.co/lBAqiGkVMD"
958,UN_CYPRUS,I had a good meeting with @UN Secretary-General's Good Offices team @un_cyprus this afternoon. I hope to deepen and strengthen our co-operation with both sides so it provides a conducive environment for the peace talks. https://t.co/6xP7r0gKuO,FALSE,TRUE,I had a good meeting with @UN Secretary-General's Good Offices team @un_cyprus this afternoon. I hope to deepen and strengthen our co-operation with both sides so it provides a conducive environment for the peace talks. https://t.co/6xP7r0gKuO
974,UN_CYPRUS,"Tune in to our podcast as we interviewed two #UNFICYP staff who are working in different areas and listen to how they are preserving the environment in the #bufferzone. 

🎤 https://t.co/QYB7XHXAry https://t.co/j5Ymz6wupt",FALSE,FALSE,NA
976,UN_CYPRUS,🇨🇾 18-25 year olds? Check out this fab opportunity from @UN_CYPRUS &amp; @cyBritish to join an exciting 2 week learning programme focussed on Environmental Peacebuilding and Social Entrepreneurship. Full ℹ️ &amp; how to apply👇🏽! #ClimateActionNow #COP26 https://t.co/54NvR7ZYiz,FALSE,TRUE,🇨🇾 18-25 year olds? Check out this fab opportunity from @UN_CYPRUS &amp; @cyBritish to join an exciting 2 week learning programme focussed on Environmental Peacebuilding and Social Entrepreneurship. Full ℹ️ &amp; how to apply👇🏽! #ClimateActionNow #COP26 https://t.co/54NvR7ZYiz
982,UN_CYPRUS,"Let’s build a greener future together! 🌱

Find out how to become a @UN Youth Champions for Environment and Peace 👇

https://t.co/nUznwRmGZ5

The programme is run in collaboration with the @cyBritish through the #COOPower project. https://t.co/uOdpcSS8uI",FALSE,FALSE,NA
989,UN_CYPRUS,"Climate change brings clear dangers for international peace and security. 🌳🌳

We are ready to support  #ClimateAction, are you? 🤔 https://t.co/VSED5NXoTW",FALSE,TRUE,"Climate change brings clear dangers for international peace and security. 🌳🌳

We are ready to support  #ClimateAction, are you? 🤔 https://t.co/VSED5NXoTW"
993,UN_CYPRUS,"Our world faces a triple planetary crisis of climate change, nature loss &amp; pollution. This triple crisis is our number 1️⃣ existential threat. We need an urgent, all-out effort to turn things around. - @antonioguterres 
https://t.co/6RHzY8YGoN
#ForNature 
📷G. Ritchie https://t.co/uzXCU9YA4v",FALSE,TRUE,"Our world faces a triple planetary crisis of climate change, nature loss &amp; pollution. This triple crisis is our number 1️⃣ existential threat. We need an urgent, all-out effort to turn things around. - @antonioguterres 
https://t.co/6RHzY8YGoN
#ForNature 
📷G. Ritchie https://t.co/uzXCU9YA4v"
996,UN_CYPRUS,"Let’s build a greener future together! 🌱

Find out how to become a @UN Youth Champions for Environment and Peace 👇
https://t.co/nUznwRmGZ5

Apply by 2️⃣8️⃣ June here: https://t.co/hiPESWfsXC

The programme is run in collaboration with @BritishCouncilCyprus through the #COOPower. https://t.co/WhQLVPGqab",FALSE,FALSE,NA
1015,UN_CYPRUS,"Top @UN official in #Cyprus, Elizabeth Spehar, the US Ambassador, Judith Garber, and the co-chairs of the Technical Committee on Environment, Michael Loizides and Salih Gücel met 2 recognize the winners of the photo contest announced on 22 March. 

More 👇
https://t.co/Red10ynXcf",FALSE,FALSE,NA
1016,UN_CYPRUS,"In the momentum of ecosystem restoration, the #GlobalGoals of the month include
🔹Goals 13 (#ClimateAction)
🔹Goal 14 (Life under Water) 
🔹Goal 15 (Life on Land)

#GenerationRestoration

📖 https://t.co/VuoEnTfj3V https://t.co/fFxx2eNxst",FALSE,TRUE,"In the momentum of ecosystem restoration, the #GlobalGoals of the month include
🔹Goals 13 (#ClimateAction)
🔹Goal 14 (Life under Water) 
🔹Goal 15 (Life on Land)

#GenerationRestoration

📖 https://t.co/VuoEnTfj3V https://t.co/fFxx2eNxst"
